unique_id,country,district,site,year,season,plant_date,harvest_date,field_latitude,field_longitude,plot_acres,hybrid,flood,drought,pest_disease,mlnd,msv,intercrop,dap_kg_pa,urea_kg_pa,weed,yield_kg_pa,yield_kg_ph,district_season_median_yield,stress_threshold,stress_label,stress_severity
383a8c89,Uganda,kamuli,kasozi,2020,lr,9-Mar-20,,1.023886667,32.977185,2.540008068,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,702.5625,1736.067,710.993255,497.6952785,1,None
f19ddb09,Uganda,kamuli,kasozi,2020,lr,25-Mar-20,,1.033481667,33.01441,0.8466693163,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,168.61501,416.6561,710.993255,497.6952785,1,Extreme
da8a62d1,Uganda,iganga,naibiri,2020,lr,21-Mar-20,,0.830265,33.50439833,2.540008068,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,595.77301,1472.1849,505.845,354.0915,0,None
36a20baa,Uganda,iganga,naibiri,2020,lr,8-Feb-20,,0.8335883333,33.53454333,2.116673231,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,286.64551,708.31537,505.845,354.0915,1,Mild
c978002e,Uganda,iganga,naibiri,2020,lr,23-Feb-20,,0.84396,33.52952833,0.4233346581,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,219.19951,541.65295,505.845,354.0915,1,Severe
045916f2,Uganda,iganga,naibiri,2020,lr,6-Mar-20,,0.8345216667,33.50568833,0.635002017,1.0,0.0,0.0,1.0,,,0.0,6.2991924,0.0,,505.845,1249.9683,505.845,354.0915,0,None
5fce38cf,Uganda,iganga,naibiri,2020,lr,5-Mar-20,,0.8440466667,33.53006333,0.635002017,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,505.845,1249.9683,505.845,354.0915,0,None
26499274,Uganda,iganga,naibiri,2020,lr,12-Mar-20,,0.8345483333,33.52091,0.8466693163,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,888.039,2194.3887,505.845,354.0915,0,None
2b14e746,Uganda,iganga,naibiri,2020,lr,1-Mar-20,,0.8420366667,33.50223833,1.270004034,1.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,449.64001,1111.083,505.845,354.0915,1,None
fb3d5814,Uganda,iganga,naibiri,2020,lr,30-Mar-20,,0.8343316667,33.53672167,0.8466693163,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,410.29651,1013.8632,505.845,354.0915,1,None
8a3612cf,Uganda,iganga,naibiri,2020,lr,15-Mar-20,,0.8166416667,33.497625,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,595.77301,1472.1849,505.845,354.0915,0,None
e0a47740,Uganda,iganga,naibiri,2020,lr,23-Mar-20,,0.8438766667,33.52922667,1.693338633,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,505.845,1249.9683,505.845,354.0915,0,None
0cfd78f2,Uganda,iganga,naibiri,2020,lr,13-Apr-20,,0.842715,33.51440167,0.8466693163,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,944.24396,2333.2739,505.845,354.0915,0,None
a8b45469,Uganda,iganga,nakalama,2020,lr,23-Feb-20,,0.7272033333,33.47814,0.2116673291,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,528.32697,1305.5223,505.845,354.0915,0,None
1f92b79b,Uganda,iganga,nakalama,2020,lr,13-Mar-20,,0.6360716667,33.509675,1.270004034,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,,612.63446,1513.8503,505.845,354.0915,0,None
2a24bb39,Uganda,iganga,nakalama,2020,lr,19-Apr-20,,0.7253566667,33.48770167,0.2116673291,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,854.31598,2111.0576,505.845,354.0915,0,None
0d68e960,Uganda,iganga,nakalama,2020,lr,25-Feb-20,,0.6695133333,33.521805,0.4233346581,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,320.3685,791.64661,505.845,354.0915,1,Mild
e4c65c39,Uganda,iganga,nakalama,2020,lr,9-Mar-20,,0.6380566667,33.5427,0.8466693163,0.0,0.0,1.0,1.0,,,1.0,,,,736.28552,1819.3983,505.845,354.0915,0,None
08c986c7,Uganda,iganga,nakalama,2020,lr,26-Apr-20,,0.6447633333,33.53415333,0.4233346581,1.0,0.0,1.0,1.0,,,0.0,5.9054933,0.0,,1079.136,2666.5989,505.845,354.0915,0,None
998b2e3e,Uganda,kamuli,nakulyaku,2020,lr,21-Mar-20,,0.947525,33.08679,0.8466693163,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,67.445999,166.66243,710.993255,497.6952785,1,Extreme
bc34d268,Uganda,kamuli,nakulyaku,2020,lr,30-Jan-20,,0.9943483333,33.11127833,1.693338633,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,230.44049,569.42999,710.993255,497.6952785,1,Severe
