variable,category,description,Kenya 2020 LR,Comment,Kenya 2019 LR,Comment,Kenya 2018 LR,Comment,Kenya 2017 LR,Comment,Kenya 2016 LR,Comment,Tanzania 2020 LR,Comment,Tanzania 2019 LR,Comment,Tanzania 2018 LR,Comment,Tanzania 2017 LR,Comment,Tanzania 2016 LR,Comment,Rwanda 2020 B,Comment,Rwanda 2020 A,Comment,Rwanda 2019 B,Comment,Rwanda 2019 A,Comment,Rwanda 2018 B,Comment,Rwanda 2018 A,Comment,Rwanda 2017 B,Comment,Rwanda 2017 A,Comment,Rwanda 2016 B,Comment,Rwanda 2016 A,Comment,Uganda 2020 LR,Comment,Burundi 2015 A,Comment,Burundi 2015 B,Comment,Burundi 2016 A,Comment,Burundi 2016 B,Comment,Burundi 2017 A,Comment,Burundi 2017 B,Comment,Burundi 2019 A,Comment,Burundi 2019 B,Comment,Burundi 2020 A,Comment,Burundi 2020 B,Comment,Malawi 2020 LR,Comment,Zambia 2020 LR,Comments,Zambia 2019 LR,Comment,Zambia 2018 LR,Comment
field_latitude,location,latitude of field (though occassionally this will not have worked as intended and was taken from homestead or near the field),x,,x,,x,,x,,x,,,,x,,x,,,,,,x,,x,,x,not all fields,x,not all fields,,,,,,,,,x,not all fields,x,not all fields,x,site latitude used for data,,,,,,,,,x,,x,,,,,,,,,,,,x,,x,,x,
field_longitude,location,longitude of field (though occassionally this will not have worked as intended and was taken from homestead or near the field),x,,x,,x,,x,,x,,,,x,,x,,,,,,x,,x,,x,not all fields,x,not all fields,,,,,,,,,x,not all fields,x,not all fields,x,site longitude used for data,,,,,,,,,x,,x,,,,,,,,,,,,x,,x,,x,
flood,field characteristics,farmer reported presence of flooding that season,x,,x,,x,,x,,x,,,not collected in tz,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
goats,demographics,# of goats owned,x,,x,,,,x,,,,x,,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,x,,x,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
goats_binary,demographics,"1= farmer owns any goats, 0 = not",x,,,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,,,X,,x,,x,,x,
guinea_fowl,demographics,# of guinea fowl owned,,,x,,,,x,,,,,not collected in tz,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,data not collected,x,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
harvest_date,practice,Data harvest crop cut was conducted,x,,x,,x,,x,some data this year,x,,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,data not collected in lr2020,x,,x,some values,,,x,many values,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
hh_num,demographics,Number of members in the household (those who eat together most days of the week),x,,x,,x,,x,,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,,,x,,x,,,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
hh_num_under18,demographics,number of household members under 18,x,,x,,x,,x,,x,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,x,,x,,x,,x,,X,,x,,x,,,
hh_num_under5,demographics,number of household members under5,x,,x,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,x,,,,x,,x,,X,,x,,x,,x,
hybrid,inputs,1= field used hybrid maize seed; 0= field did not use hybrid maize seed (please see notes to the right),x,,x,,x,,x,,x,,x,,x,note (this is incomplete - we did not ask for non1AF farmers. We only know that 1AF farmes used hybrid seed),x,,x,,x,note (this is incomplete - we did not ask for non1AF farmers. We only know that 1AF farmes used hybrid seed),x,,x,,x,,x,,x,,x,,x,,,not collected,x,,x,,x,,,,,,x,,,,x,,,,x,,,,x,,"
",,,,x,,x,,x,
hybridseed_kg_pa,inputs,self reported kg of hybrid maize/ self reporte land size,x,,x,collected for non1AF farmers. For 1AF farmers assumed 20kg/acre bsaed on input package given,x,collected for non1AF farmers. For 1AF farmers assumed 20kg/acre bsaed on input package given,x,"estimated thie based on the kg of hybrid seed that 1AF farmers took. For non1AF farmers, we estiamted kgs based on the $ spent on seed and assumed it was hybrid if store bought (though we recognize this is not always true)",x,"estimated thie based on the kg of hybrid seed that 1AF farmers took. For non1AF farmers, we estiamted kgs based on the $ spent on seed and assumed it was hybrid if store bought (though we recognize this is not always true)",x,,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,x,package size (10kg/acre) used for oaf farmers,,,,,,,,,x,,,,x,,,,x,,,,X,This distinction is only possible for oaf fields. For non oaf we only have total seed kgs,x,,x,,x,
hybridseed_kg_ph,inputs,self reported kg of hybrid maize/ self reporte land size,,Only collect acreage data,x,,x,,x,,x,,x,,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,,,per acre data collected instead,,,,,,,,,x,,,,x,,,,x,,,,X,,x,,x,,x,
intercrop,practice,"was the field intercropped (1=yes, 0 = no)",x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
intercrop_type,practice,"type of crop intercropped (e.g. beans, sweet potatoes etc...)",x,,x,,x,,x,,x,,x,,x,,x,,,,,,x,,x,,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,multiple crops possible,x,,,,,,,,,,,,,,,,,,x,,x,,,,x,,x,,x,
lime_kg,inputs,self reported kg of lime applied,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,no lime use among farmers,,,,,,,x,,,,,,,,,,x,,x,,,,x,,x,,,
lime_kg_pa,inputs,self reported lime kg / self reported field size,x,,x,,x,,x,,,,x,,,,,,,,,,x,,x,,,,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,,,,,,no data,,,,,,,x,,,,,,,,,,x,,x,,,,x,,x,,,
lime_kg_ph,inputs,self reported lime kg / self reported field size,,Only collect acreage data,x,,x,,x,,,,x,,,,,,,,,,x,,x,,,,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,x,based on estimate of lime applied to crop cut box,,,,,,no data,,,,,,,x,,,,,,,,,,x,,x,,,,x,,x,,,
lime_method,practice,method of applying lime (broadcast or spot/hole application),,,x,,x,,,,,,,not collected this season,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localseed_kg,inputs,self reported total local (non hybrid) seed applied,x,,x,,x,,x,,x,,x,,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,,,x,
localseed_kg_pa,inputs,self reported local seed kg/ self reported acres,x,,x,,x,,x,,x,,x,,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
localseed_kg_ph,inputs,self reported local seed kg/ self reported hectares,,Only collect acreage data,x,,x,,x,,x,,x,,,,,,,,,,,Not collected in Rwanda,,,,,,,,,,,,,,,,,,,,per acre data collected instead,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,X,,x,,x,,x,
mlnd,field characteristics,farmer reported presence of MLND this season,x,,x,,x,,x,,,,,not collected in tanzania,,,x,,,,,,x,,x,,,,x,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msv,field characteristics,farmer reported presence of MSV this season,x,,x,,x,,x,,,,,not collected in tanzania,,,x,,,,,,x,,x,,,,,,x,,x,,,,,,,,,,,data not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
npk_kg,inputs,"reported kg of NPK (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields)",x,,,,x,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,"not offered by OAF, not common among farmers",,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",,,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S
npk_kg_pa,inputs,"reported kg of NPK (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type acres",x,,,,x,,,,,,x,,,,,,,,,,x,,x,,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,,,x,based on NPK estimated in crop cut box,,,x,based on NPK estimated in crop cut box,,no data,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",,We only distinguish between basal and topdress,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S
npk_kg_ph,inputs,"reported kg of NPK (unless othewise noted this is the average kg applied to field type, e.g. maize program land, client non-program land, non-client land, on average, which includes the field harvested but also potentially other fields) / self reported field type hectares",,Only collect acreage data,,,x,,,,,,x,,,,,,,,,,x,,x,,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,x,based on NPK estimated in crop cut box,,,x,based on NPK estimated in crop cut box,,,x,based on NPK estimated in crop cut box,,no data,,,x,,,,x,,x,,x,,x,,x,,x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",x,"Decrease of fertilizer use from 2020A on because the government forbad the use of use of DAP, Urea or NPK to replace them by domestically produced blends",,,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S,x,We use Compound D which is NPK 10-20-10+6.5%S
npk_method,practice,Self reported manner of applying NPK (at planting) broadcast vs hole,,This was not collected in 2020,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,,,x,,,no data,,,,,,,,,x,same as dap_method because dap and npk are applied at the same time,x,same as dap_method because dap and npk are applied at the same time,x,same as dap_method because dap and npk are applied at the same time,x,same as dap_method because dap and npk are applied at the same time,x,same as dap_method because dap and npk are applied at the same time,x,same as dap_method because dap and npk are applied at the same time,,,,,,,x,
oxen,demographics,# of oxen owned,x,,x,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
pest_disease,field characteristics,"farmer reported presence of pests or disease that season (1=yes, 0=no)",x,,x,,x,,x,,,,,only collect pest data as it relates to pesticide usage,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,
pesticide,inputs,farmer reported applying pesticde that season,x,,x,,x,,x,,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,no data collected,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
pigs,demographics,# of pigs owned,,,x,,,,x,,,,x,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,,,x,,x,,,no data collected,x,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
plant_date,practice,farmer reported planting date,x,,x,,x,,x,incomplete data,x,,x,,x,,x,lots of data this year,x,"Some dates approximated (beginning of month = 1; middle of month = 15, end of month = 29)",,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,,,,,,,,x,,x,,,,,,,,,,X,,x,,x,,,
plant_spacing,practice,average spacing between plants (measured in cm),,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,,data not collected in lr2020,,,,,,,,,,,,,,,,,,,,,X,,x,,x,,x,
